mz	time	LC_Mode	DSSTox Chemical Name	Molecular_formula
171.13849	193.2	C18_neg	Decanoic acid	C10 H20 O2
171.13849	193.2	C18_neg	2-Ethylhexyl acetate	C10 H20 O2
171.13849	193.2	C18_neg	Lithium neodecanoate	NA
171.13849	193.2	C18_neg	Octyl acetate	C10 H20 O2
157.1227	187.8	C18_neg	Nonanoic acid	C9 H18 O2
157.1227	187.8	C18_neg	355-Trimethylhexanoic acid	C9 H18 O2
157.1227	187.8	C18_neg	Heptyl acetate	C9 H18 O2
129.13886	15.5	HILIC_pos	Piperazine 124-trimethyl-	C7 H16 N2
100.1125	27.6	HILIC_pos	Cyclohexylamine	C6 H13 N
255.16004	183.3	C18_neg	14-Dioxacyclohexadecane-516-dione	C14 H24 O4
255.16004	183.3	C18_neg	22-Cyclohexane-14-diylbis(methanediyloxymethanediyl)dioxirane	C14 H24 O4
255.16004	183.3	C18_neg	Dipentyl maleate	NA
243.15999	179.9	C18_neg	Diethyl azelate	C13 H24 O4
269.17609	186.3	C18_neg	33-Dimethyl-15-dioxacyclopentadecane-615-dione	C15 H26 O4
269.17609	186.3	C18_neg	14-Dioxacycloheptadecane-517-dione	C15 H26 O4
412.96725	20.1	C18_neg	Perfluorooctanoic acid	C8 H F15 O2
412.96725	20.1	C18_neg	Perfluoro-6-(trifluoromethyl)heptanoic acid	C8 H F15 O2
185.15419	197.8	C18_neg	2-Ethylhexyl glycidyl ether	C11 H22 O2
185.15419	197.8	C18_neg	355-Trimethylhexyl acetate	C11 H22 O2
409.18396	24.9	HILIC_pos	Tetrabutylthiuram disulfide	C18 H36 N2 S4
409.18396	24.9	HILIC_pos	Thioperoxydicarbonic diamide ((H2N)C(S)2S2) tetrakis(2-methylpropyl)-	C18 H36 N2 S4
371.22787	25.2	HILIC_pos	Octaethylene glycol	C16 H34 O9
273.16762	21.8	HILIC_pos	22-(Oxydimethanediyl)bis(2-ethylpropane-13-diol)	C12 H26 O5
179.05554	20.9	C18_neg	D-Glucose	NA
172.13337	23.3	HILIC_pos	N-((2-Methylpropoxy)methyl)methacrylamide	C9 H17 N O2
172.13337	23.3	HILIC_pos	N-(Butoxymethyl)methacrylamide	C9 H17 N O2
172.13337	23.3	HILIC_pos	(2266-Tetramethyl-4-oxopiperidin-1-yl)oxidanyl	NA
247.10149	19.6	C18_neg	3-(Trimethoxysilyl)propyl methacrylate	C10 H20 O5 Si
227.20148	211	C18_neg	Tetradecanoic acid	C14 H28 O2
136.02177	22	HILIC_pos	Benzothiazole	C7 H5 N S
153.12753	21.7	HILIC_pos	Camphor	C10 H16 O
153.12753	21.7	HILIC_pos	37-Dimethyl-26-octadienal	NA
153.12753	21.7	HILIC_pos	Dehydrolinalool	C10 H16 O
151.05555	17.8	C18_neg	Acenaphthylene	C12 H8
237.06623	188.3	HILIC_pos	Dibutyltin hydride	C8 H20 Sn
201.14933	182.3	C18_neg	Neoheptaneperoxoic acid 11-dimethylethyl ester	C11 H22 O3
213.18574	207.1	C18_neg	Butyl isononanoate	C13 H26 O2
147.07626	208.5	HILIC_pos	2-Imidazolidinone 13-bis(hydroxymethyl)-	C5 H10 N2 O3
265.14804	193.3	C18_neg	Sodium dodecyl sulfate	C12 H26 O4 S
130.15924	15.9	HILIC_pos	N-Butyl-1-butanamine	C8 H19 N
130.15924	15.9	HILIC_pos	1-Octanamine	C8 H19 N
130.15924	15.9	HILIC_pos	2-Ethylhexylamine	C8 H19 N
215.0556	19.4	C18_neg	2-Butenedioic acid (2Z)- mono-2-propenyl ester	C7 H8 O4
215.0556	19.4	C18_neg	4-2-(Acryloyloxy)ethoxy-4-oxobutanoic acid	C9 H12 O6
139.05034	29.3	HILIC_pos	p-Benzoquinone dioxime	NA
195.10078	205.3	HILIC_pos	tert-Butyl perbenzoate	C11 H14 O3
